observation_id,brand,brand_network,source_id,entity_type,turnover_band,service_code,service_name,service_level,complexity_tier,price_gbp_monthly_ex_vat,pricing_model,scope_notes,data_quality,url,captured_date,region
CSB015,Clearstone Business,independent,SRC021,ltd,250-299k,COMP_ACCOUNTS,Full Accountancy Package,advanced,complex,139,modelA,Advanced package includes all Full plus quarterly strategy meetings tax planning profit improvement; range £139-359 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-150-500k/,2025-01-05,England
CSB016,Clearstone Business,independent,SRC021,ltd,300-399k,COMP_ACCOUNTS,Full Accountancy Package,entry,simple,89,modelA,Entry package includes cloud software accounts tax returns post year-end meeting unlimited advice; range £89-219 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-150-500k/,2025-01-05,England
CSB017,Clearstone Business,independent,SRC021,ltd,300-399k,COMP_ACCOUNTS,Full Accountancy Package,full,standard,117,modelA,Full package includes all Entry plus confirmation statement dedicated manager; range £117-297 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-150-500k/,2025-01-05,England
CSB018,Clearstone Business,independent,SRC021,ltd,300-399k,COMP_ACCOUNTS,Full Accountancy Package,advanced,complex,139,modelA,Advanced package includes all Full plus quarterly strategy meetings tax planning profit improvement; range £139-359 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-150-500k/,2025-01-05,England
CSB019,Clearstone Business,independent,SRC021,ltd,400-499k,COMP_ACCOUNTS,Full Accountancy Package,entry,simple,89,modelA,Entry package includes cloud software accounts tax returns post year-end meeting unlimited advice; range £89-219 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-150-500k/,2025-01-05,England
CSB020,Clearstone Business,independent,SRC021,ltd,400-499k,COMP_ACCOUNTS,Full Accountancy Package,full,standard,117,modelA,Full package includes all Entry plus confirmation statement dedicated manager; range £117-297 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-150-500k/,2025-01-05,England
CSB021,Clearstone Business,independent,SRC021,ltd,400-499k,COMP_ACCOUNTS,Full Accountancy Package,advanced,complex,139,modelA,Advanced package includes all Full plus quarterly strategy meetings tax planning profit improvement; range £139-359 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-150-500k/,2025-01-05,England
CSB022,Clearstone Business,independent,SRC021,ltd,500-599k,COMP_ACCOUNTS,Full Accountancy Package,entry,simple,129,modelA,Entry package includes cloud software accounts tax returns post year-end meeting unlimited advice; range £129-299 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-500k-1m/,2025-01-05,England
CSB023,Clearstone Business,independent,SRC021,ltd,500-599k,COMP_ACCOUNTS,Full Accountancy Package,full,standard,167,modelA,Full package includes all Entry plus confirmation statement dedicated manager; range £167-407 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-500k-1m/,2025-01-05,England
CSB024,Clearstone Business,independent,SRC021,ltd,500-599k,COMP_ACCOUNTS,Full Accountancy Package,advanced,complex,189,modelA,Advanced package includes all Full plus quarterly strategy meetings tax planning profit improvement; range £189-499 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-500k-1m/,2025-01-05,England
CSB025,Clearstone Business,independent,SRC021,ltd,600-749k,COMP_ACCOUNTS,Full Accountancy Package,entry,simple,129,modelA,Entry package includes cloud software accounts tax returns post year-end meeting unlimited advice; range £129-299 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-500k-1m/,2025-01-05,England
CSB026,Clearstone Business,independent,SRC021,ltd,600-749k,COMP_ACCOUNTS,Full Accountancy Package,full,standard,167,modelA,Full package includes all Entry plus confirmation statement dedicated manager; range £167-407 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-500k-1m/,2025-01-05,England
CSB027,Clearstone Business,independent,SRC021,ltd,600-749k,COMP_ACCOUNTS,Full Accountancy Package,advanced,complex,189,modelA,Advanced package includes all Full plus quarterly strategy meetings tax planning profit improvement; range £189-499 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-500k-1m/,2025-01-05,England
CSB028,Clearstone Business,independent,SRC021,ltd,750-999k,COMP_ACCOUNTS,Full Accountancy Package,entry,simple,129,modelA,Entry package includes cloud software accounts tax returns post year-end meeting unlimited advice; range £129-299 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-500k-1m/,2025-01-05,England
CSB029,Clearstone Business,independent,SRC021,ltd,750-999k,COMP_ACCOUNTS,Full Accountancy Package,full,standard,167,modelA,Full package includes all Entry plus confirmation statement dedicated manager; range £167-407 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-500k-1m/,2025-01-05,England
CSB030,Clearstone Business,independent,SRC021,ltd,750-999k,COMP_ACCOUNTS,Full Accountancy Package,advanced,complex,189,modelA,Advanced package includes all Full plus quarterly strategy meetings tax planning profit improvement; range £189-499 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-500k-1m/,2025-01-05,England
CSB031,Clearstone Business,independent,SRC021,ltd,1.0-1.49m,COMP_ACCOUNTS,Full Accountancy Package,entry,simple,179,modelA,Entry package includes cloud software accounts tax returns post year-end meeting unlimited advice; range £179-399 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-1m-2m/,2025-01-05,England
CSB032,Clearstone Business,independent,SRC021,ltd,1.0-1.49m,COMP_ACCOUNTS,Full Accountancy Package,full,standard,237,modelA,Full package includes all Entry plus confirmation statement dedicated manager; range £237-577 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-1m-2m/,2025-01-05,England
CSB033,Clearstone Business,independent,SRC021,ltd,1.0-1.49m,COMP_ACCOUNTS,Full Accountancy Package,advanced,complex,269,modelA,Advanced package includes all Full plus quarterly strategy meetings tax planning profit improvement; range £269-699 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-1m-2m/,2025-01-05,England
CSB034,Clearstone Business,independent,SRC021,ltd,1.5-2.0m,COMP_ACCOUNTS,Full Accountancy Package,entry,simple,179,modelA,Entry package includes cloud software accounts tax returns post year-end meeting unlimited advice; range £179-399 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-1m-2m/,2025-01-05,England
CSB035,Clearstone Business,independent,SRC021,ltd,1.5-2.0m,COMP_ACCOUNTS,Full Accountancy Package,full,standard,237,modelA,Full package includes all Entry plus confirmation statement dedicated manager; range £237-577 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-1m-2m/,2025-01-05,England
CSB036,Clearstone Business,independent,SRC021,ltd,1.5-2.0m,COMP_ACCOUNTS,Full Accountancy Package,advanced,complex,269,modelA,Advanced package includes all Full plus quarterly strategy meetings tax planning profit improvement; range £269-699 typical is lower,B,https://clearstonebusiness.co.uk/packages-pricing/turnover-1m-2m/,2025-01-05,England
